,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Windspeed
0,dombarovskiy,0,RU,1604457256,83,50.76,59.54,35.87,9.33
1,saint-augustin,33,CA,1604457256,79,51.23,-58.65,24.87,11.25
4,vardo,3,NO,1604457219,69,70.37,31.11,42.44,21.5
5,tasiilaq,100,GL,1604457256,86,65.61,-37.64,33.8,38.03
7,dukat,100,RU,1604457256,96,62.55,155.55,13.84,7.31
8,aklavik,98,CA,1604457256,77,68.22,-135.01,5.0,3.36
10,iskateley,100,RU,1604457257,93,67.68,53.15,39.83,16.46
12,shimoda,40,JP,1604457193,51,34.67,138.95,60.8,6.93
13,yellowknife,90,CA,1604457257,84,62.46,-114.35,3.2,5.82
16,leningradskiy,10,RU,1604456988,85,69.38,178.42,5.16,13.29
18,altay,97,CN,1604457257,88,47.87,88.12,31.68,3.27
20,najran,0,SA,1604457258,30,17.49,44.13,53.6,2.06
21,lavrentiya,0,RU,1604456997,86,65.58,-171.0,17.4,12.71
22,mandalgovi,0,MN,1604457258,75,45.76,106.27,32.0,8.32
27,pekan,40,MY,1604457258,94,3.48,103.4,77.0,2.24
28,butaritari,88,KI,1604457258,72,3.07,172.79,81.7,15.77
29,husavik,0,IS,1604457259,69,66.04,-17.34,39.2,14.99
30,siniscola,0,IT,1604457259,93,40.57,9.69,51.8,1.12
31,kodiak,1,US,1604457218,39,57.79,-152.41,28.4,11.41
32,san fernando,75,PH,1604457169,83,15.03,120.69,82.4,4.7
33,zhicheng,99,CN,1604457259,49,30.3,111.5,60.6,2.64
35,khatanga,96,RU,1604457259,93,71.97,102.5,-0.53,6.11
36,golyshmanovo,97,RU,1604457259,92,56.4,68.37,28.54,14.72
38,albany,0,US,1604457260,81,42.6,-73.97,30.0,1.86
42,hilo,40,US,1604457260,66,19.73,-155.09,84.2,9.17
43,mirnyy,75,RU,1604457260,85,62.54,113.96,17.6,11.18
44,dharmanagar,35,IN,1604457260,87,24.37,92.17,79.45,1.88
45,kapaa,40,US,1604457260,83,22.08,-159.32,80.6,12.75
46,bathsheba,40,BB,1604457260,74,13.22,-59.52,80.6,19.46
47,georgetown,20,MY,1604457261,78,5.41,100.34,80.6,3.36
48,broome,1,US,1604457261,96,42.25,-75.83,33.01,4.7
49,ketchikan,90,US,1604457261,74,55.34,-131.65,42.8,5.17
51,saskylakh,99,RU,1604457261,91,71.92,114.08,-3.84,2.82
53,qaanaaq,51,GL,1604456980,78,77.48,-69.36,-0.08,1.3
55,tomohon,20,ID,1604457262,55,1.33,124.84,91.4,3.36
56,kloulklubed,90,PW,1604457262,79,7.04,134.26,86.0,6.93
57,jieshi,17,CN,1604457262,56,22.81,115.83,73.99,1.99
58,madera,0,US,1604457262,39,37.17,-119.83,66.0,4.18
62,cockburn town,100,TC,1604457262,78,21.46,-71.14,81.68,17.69
63,hendersonville,1,US,1604457168,75,36.3,-86.62,53.01,4.92
65,doha,0,QA,1604457157,60,25.29,51.53,75.2,3.36
67,victoria,37,HK,1604457205,64,22.29,114.16,75.0,8.99
68,tiksi,100,RU,1604457263,95,71.69,128.87,8.28,5.77
71,villa de san francisco,90,HN,1604457133,93,14.17,-86.97,66.2,11.41
72,iranshahr,0,IR,1604457264,15,27.2,60.68,57.2,6.93
78,tabou,10,CI,1604457264,88,4.42,-7.35,78.12,7.49
81,skibbereen,20,IE,1604457265,86,51.55,-9.27,39.2,9.17
82,paka,40,MY,1604457265,100,4.64,103.44,77.0,3.36
83,kavaratti,0,IN,1604456983,72,10.57,72.64,82.26,5.1
86,lompoc,75,US,1604457115,93,34.64,-120.46,59.0,5.82
87,khasan,0,RU,1604457265,52,42.43,130.64,42.17,19.06
88,baiyin,0,CN,1604457265,41,36.56,104.21,52.0,2.24
89,waw,8,SS,1604457266,83,7.7,28.0,74.55,1.39
90,jamestown,1,US,1604457266,65,42.1,-79.24,44.01,6.93
91,upernavik,100,GL,1604457266,96,72.79,-56.15,17.35,12.08
95,cherskiy,0,RU,1604457266,85,68.75,161.3,-5.13,4.03
96,keti bandar,0,PK,1604457266,51,24.14,67.45,79.79,12.95
97,harwich,0,GB,1604457267,81,51.94,1.28,39.99,4.0
98,awbari,0,LY,1604457267,53,26.59,12.78,59.97,6.35
99,jalu,0,LY,1604457267,85,29.03,21.55,59.49,6.62
102,bethel,90,US,1604457267,74,41.37,-73.41,35.6,2.17
103,bousse,88,BF,1604457267,37,12.66,-1.89,82.4,5.82
106,pevek,29,RU,1604457268,90,69.7,170.31,-1.44,9.91
107,sawakin,6,SD,1604457268,70,19.11,37.33,82.62,9.19
108,barrow,90,US,1604457268,85,71.29,-156.79,12.2,9.17
109,boditi,2,ET,1604457268,50,6.97,37.87,52.25,5.21
110,sabang,63,ID,1604457268,73,5.89,95.32,81.61,3.04
112,jumla,0,NP,1604457268,34,29.27,82.18,54.95,1.23
113,kuytun,100,RU,1604457269,94,54.34,101.5,27.34,7.99
114,teknaf,100,BD,1604457269,86,20.86,92.31,78.22,9.06
115,kapit,67,MY,1604457269,57,2.02,112.93,90.84,1.01
116,tessalit,88,ML,1604457066,21,20.2,1.01,73.06,11.72
117,abaza,100,RU,1604457269,88,52.66,90.09,28.15,8.32
118,zile,75,TR,1604457269,70,40.3,35.89,44.6,2.55
120,karasjok,2,NO,1604457269,64,69.47,25.51,39.2,16.11
121,zhezkazgan,0,KZ,1604457269,95,47.8,67.71,28.51,7.96
122,ponta do sol,75,PT,1604457270,68,32.67,-17.1,64.4,16.11
124,klaksvik,90,FO,1604457270,65,62.23,-6.59,44.6,32.21
125,ostrovnoy,70,RU,1604457270,85,68.05,39.51,36.39,12.73
126,nome,90,US,1604457163,73,64.5,-165.41,26.6,18.34
127,allen,1,US,1604457241,70,41.07,-85.01,51.8,10.29
128,vila,0,PT,1604457270,85,42.03,-8.16,41.0,1.01
130,rabo de peixe,75,PT,1604457271,77,37.8,-25.58,59.0,4.7
131,chokurdakh,0,RU,1604457271,82,70.63,147.92,-16.11,3.18
133,priyutnoye,31,RU,1604457271,75,46.1,43.51,42.01,8.99
134,hermosillo,5,MX,1604456975,19,29.07,-110.97,87.8,4.7
135,tehachapi,1,US,1604457249,43,35.13,-118.45,57.0,5.82
137,muroto,20,JP,1604457271,38,33.28,134.15,60.8,14.99
140,ribeira grande,69,PT,1604457272,66,38.52,-28.7,61.99,11.77
141,caldwell,1,US,1604457220,44,43.66,-116.69,48.2,3.36
142,lardos,40,GR,1604457272,52,36.09,28.02,69.8,12.75
144,zhigansk,46,RU,1604456979,89,66.77,123.37,-0.42,5.12
145,chapais,90,CA,1604457161,85,49.78,-74.85,17.6,8.05
146,tuktoyaktuk,90,CA,1604457272,85,69.45,-133.04,12.2,9.17
147,portland,90,US,1604457249,93,45.52,-122.68,59.0,7.52
149,wick,85,GB,1604457273,87,58.43,-3.08,42.8,14.99
151,kahului,40,US,1604457273,58,20.89,-156.47,87.8,17.22
152,oakdale,1,US,1604457220,58,44.96,-92.96,64.4,3.36
