,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Windspeed
2,port alfred,96,ZA,1604457256,89,-33.59,26.89,68.4,6.51
3,ushuaia,75,AR,1604457256,50,-54.8,-68.3,51.8,13.87
6,punta arenas,90,CL,1604457256,93,-53.15,-70.92,44.6,11.41
9,bluff,0,NZ,1604457257,55,-46.6,168.33,72.0,11.01
11,alofi,75,NU,1604457257,69,-19.06,-169.92,80.6,23.04
14,busselton,57,AU,1604457257,63,-33.65,115.33,64.99,4.0
15,carutapera,42,BR,1604457257,92,-1.2,-46.02,76.82,3.24
17,piacabucu,31,BR,1604457158,85,-10.41,-36.43,77.09,9.71
19,mataura,25,NZ,1604457257,55,-46.19,168.86,72.0,11.01
23,new norfolk,75,AU,1604457258,43,-42.78,147.06,69.8,17.22
24,nabire,100,ID,1604457258,71,-3.37,135.48,82.9,8.41
25,cape town,0,ZA,1604457113,82,-33.93,18.42,66.0,11.41
26,chuy,0,UY,1604457258,82,-33.7,-53.46,54.73,7.74
34,candido mendes,69,BR,1604457259,94,-1.45,-45.72,75.72,2.21
37,rikitea,23,PF,1604457259,80,-23.12,-134.97,72.68,18.79
39,tres passos,0,BR,1604457260,60,-27.46,-53.93,63.0,11.01
40,mahebourg,40,MU,1604457260,73,-20.41,57.7,69.8,9.17
41,port elizabeth,75,ZA,1604457001,88,-33.92,25.57,66.2,5.82
50,souillac,40,MU,1604457261,73,-20.52,57.52,69.8,9.17
52,manaus,20,BR,1604457223,70,-3.1,-60.02,86.0,2.24
54,tres lagoas,0,BR,1604457207,44,-20.75,-51.68,69.37,4.23
59,carnarvon,0,AU,1604457262,27,-24.87,113.63,86.0,14.99
60,hermanus,93,ZA,1604457262,93,-34.42,19.23,63.0,1.01
61,buala,85,SB,1604457262,66,-8.14,159.59,86.11,6.8
64,vaini,20,TO,1604457263,74,-21.2,-175.2,80.6,13.87
66,bundaberg,40,AU,1604456983,39,-24.85,152.35,80.6,8.05
69,itanhaem,20,BR,1604457263,82,-24.18,-46.79,72.0,8.05
70,hobart,75,AU,1604457037,43,-42.88,147.33,69.8,17.22
73,atuona,49,PF,1604457264,75,-9.8,-139.03,78.35,21.05
74,faanui,100,PF,1604457264,81,-16.48,-151.75,79.59,18.3
75,luderitz,1,NA,1604457264,93,-26.65,15.16,57.69,6.87
76,kibondo,95,TZ,1604457264,79,-3.59,30.72,63.81,1.36
77,vila velha,75,BR,1604457264,82,-20.33,-40.29,68.0,2.24
79,kununurra,97,AU,1604457264,37,-15.77,128.73,96.8,11.41
80,kaitangata,0,NZ,1604457265,76,-46.28,169.85,63.0,8.01
84,hithadhoo,100,MV,1604457093,71,-0.6,73.08,83.39,7.49
85,saint-pierre,75,RE,1604457265,60,-21.34,55.48,68.0,8.05
92,angoche,8,MZ,1604457266,80,-16.23,39.91,75.11,6.85
93,ngunguru,100,NZ,1604457266,86,-35.62,174.5,69.01,10.0
94,mar del plata,0,AR,1604457266,87,-38.0,-57.56,60.01,10.29
100,bambous virieux,40,MU,1604457267,73,-20.34,57.76,69.8,9.17
101,puerto ayora,88,EC,1604457267,94,-0.74,-90.35,69.01,4.0
104,saint-philippe,75,RE,1604457267,60,-21.36,55.77,68.0,8.05
105,fare,100,PF,1604457267,78,-16.7,-151.02,80.62,19.26
111,bengkulu,76,ID,1604457093,66,-3.8,102.27,83.37,3.02
119,hokitika,99,NZ,1604457269,96,-42.72,170.97,59.07,9.44
123,lebu,71,CL,1604457258,84,-37.62,-73.65,52.93,3.33
129,nokaneng,68,BW,1604457270,79,-19.67,22.27,63.86,3.49
132,bredasdorp,62,ZA,1604457271,93,-34.53,20.04,66.2,3.36
136,ulladulla,0,AU,1604457271,47,-35.35,150.47,80.6,11.41
138,namibe,0,AO,1604457271,69,-15.2,12.15,67.86,9.48
139,east london,39,ZA,1604457272,90,-33.02,27.91,67.64,6.24
143,le port,90,RE,1604457272,56,-20.94,55.29,71.6,6.93
148,moree,0,AU,1604457021,27,-29.47,149.85,87.8,6.26
150,lagunas,100,PE,1604457273,76,-5.23,-75.68,77.14,2.71
153,viedma,100,AR,1604457273,46,-40.81,-63.0,75.0,11.01
155,castro,33,BR,1604457273,95,-24.79,-50.01,52.99,6.6
156,avarua,100,CK,1604457273,83,-21.21,-159.78,75.2,6.93
161,waipawa,72,NZ,1604457274,68,-41.41,175.52,69.8,17.22
163,ancud,90,CL,1604457274,100,-41.87,-73.82,51.01,13.87
173,arraial do cabo,100,BR,1604457276,83,-22.97,-42.03,68.52,20.76
179,pastos bons,100,BR,1604457277,94,-6.6,-44.08,70.92,2.06
180,copiapo,18,CL,1604457088,76,-27.37,-70.33,57.2,8.05
181,soe,0,ID,1604457277,29,-9.86,124.28,89.76,9.1
183,sao miguel do araguaia,100,BR,1604457277,94,-13.28,-50.16,72.68,5.1
185,antalaha,93,MG,1604457277,85,-14.9,50.28,71.71,8.12
189,vanimo,99,PG,1604457278,75,-2.67,141.3,85.87,9.95
190,santa maria,0,BR,1604457278,72,-29.68,-53.81,62.6,12.75
192,karratha,0,AU,1604457278,30,-20.74,116.85,91.45,7.87
195,kiama,73,AU,1604457279,58,-34.68,150.87,79.0,4.0
196,melipilla,90,CL,1604457279,100,-33.7,-71.22,64.99,5.82
198,te anau,80,NZ,1604457279,73,-45.42,167.72,63.16,5.61
199,bambanglipuro,0,ID,1604457279,56,-7.95,110.28,87.62,5.28
