,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Windspeed
0,guadalupe y calvo,37,MX,1604337702,26,26.1,-106.97,67.19,3.94
1,sisimiut,64,GL,1604337464,90,66.94,-53.67,21.27,15.66
2,tocopilla,15,CL,1604337702,47,-22.09,-70.2,68.88,7.27
3,shakiso,51,ET,1604337702,93,5.75,38.92,58.86,2.8
4,hermanus,0,ZA,1604337702,78,-34.42,19.23,68.0,4.0
5,bengkulu,99,ID,1604337702,88,-3.8,102.27,75.52,4.36
6,kodiak,1,US,1604337703,49,57.79,-152.41,24.8,12.75
7,saint george,1,US,1604337619,24,37.1,-113.58,57.2,5.82
8,mar del plata,20,AR,1604337408,64,-38.0,-57.56,68.0,9.17
9,lucea,40,JM,1604337703,74,18.45,-78.17,84.2,16.11
10,rikitea,79,PF,1604337703,82,-23.12,-134.97,72.46,21.23
11,kaitangata,84,NZ,1604337703,80,-46.28,169.85,48.99,1.99
12,puerto ayora,75,EC,1604337687,69,-0.74,-90.35,77.0,16.11
13,port alfred,8,ZA,1604337704,81,-33.59,26.89,67.21,25.77
14,kirakira,100,SB,1604337704,83,-10.45,161.92,77.95,6.06
15,bredasdorp,0,ZA,1604337704,77,-34.53,20.04,66.2,13.87
16,thompson,90,CA,1604337704,79,55.74,-97.86,23.0,5.82
17,tasiilaq,0,GL,1604337704,53,65.61,-37.64,24.8,3.36
18,constitucion,46,CL,1604337704,66,-35.33,-72.42,62.15,10.25
19,naliya,0,IN,1604337625,38,23.27,68.83,79.92,5.01
20,labuhan,100,ID,1604337705,85,-6.88,112.21,78.94,7.56
21,waingapu,78,ID,1604337705,75,-9.66,120.26,80.78,4.09
22,port elizabeth,20,ZA,1604337686,88,-33.92,25.57,66.2,21.92
23,kapaa,75,US,1604337705,100,22.08,-159.32,69.8,6.93
24,carnarvon,0,AU,1604337625,82,-24.87,113.63,64.4,8.05
25,provideniya,48,RU,1604337560,94,64.38,-173.3,23.41,7.2
26,cururupu,73,BR,1604337705,48,-1.83,-44.87,91.45,7.94
27,salalah,0,OM,1604337706,57,17.02,54.09,80.6,2.24
28,mizdah,0,LY,1604337706,42,31.45,12.98,63.57,7.14
29,iqaluit,75,CA,1604337706,61,63.75,-68.51,17.6,9.17
30,miracema do tocantins,100,BR,1604337706,87,-9.56,-48.4,74.71,6.62
31,albany,98,US,1604337706,64,42.6,-73.97,36.0,4.0
32,bluff,18,NZ,1604337706,93,-46.6,168.33,39.99,1.01
33,busselton,8,AU,1604337706,97,-33.65,115.33,55.0,9.84
34,atuona,60,PF,1604337707,76,-9.8,-139.03,77.52,20.11
35,longyearbyen,75,SJ,1604337707,74,78.22,15.64,33.8,41.38
36,severo-kurilsk,80,RU,1604337707,81,50.68,156.12,42.75,20.13
37,mahajanga,20,MG,1604337707,74,-15.72,46.32,80.6,6.93
38,mataura,77,NZ,1604337707,93,-46.19,168.86,39.99,1.01
39,punta arenas,0,CL,1604337707,41,-53.15,-70.92,59.0,10.29
40,tadine,100,NC,1604337707,88,-21.55,167.88,74.52,8.59
41,port blair,59,IN,1604337707,82,11.67,92.75,80.6,4.9
42,norman wells,90,CA,1604337675,84,65.28,-126.83,6.8,5.82
43,victor harbor,96,AU,1604337708,43,-35.57,138.62,71.01,1.01
44,yar-sale,80,RU,1604337708,93,66.83,70.83,20.03,8.59
