,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Windspeed
0,barrow,75,US,1604280657,68,71.29,-156.79,28.4,18.34
1,yichang,77,CN,1604280658,63,30.71,111.28,61.0,1.99
2,busselton,100,AU,1604280448,86,-33.65,115.33,62.01,5.91
3,palmer,90,US,1604280658,93,42.16,-72.33,48.0,26.4
4,okato,100,NZ,1604280658,87,-39.2,173.88,59.0,5.99
5,hermanus,89,ZA,1604280658,81,-34.42,19.23,64.0,5.01
6,vallenar,0,CL,1604280658,54,-28.57,-70.76,56.19,1.9
7,tukrah,91,LY,1604280659,61,32.53,20.58,69.67,10.16
8,inuvik,90,CA,1604280659,92,68.35,-133.72,12.2,2.24
9,bathsheba,40,BB,1604280476,78,13.22,-59.52,82.4,21.92
10,kazanka,90,UA,1604280659,81,47.85,32.82,48.2,11.18
11,rikitea,93,PF,1604280452,85,-23.12,-134.97,74.16,23.53
12,nikolskoye,90,RU,1604280660,100,59.7,30.79,35.6,6.71
13,saskylakh,91,RU,1604280660,89,71.92,114.08,-8.32,10.54
14,hobart,0,AU,1604280660,52,-42.88,147.33,75.0,8.05
15,wainwright,100,CA,1604280606,57,52.84,-110.86,48.2,6.93
16,tuatapere,25,NZ,1604280660,65,-46.13,167.68,55.0,13.0
17,bambous virieux,20,MU,1604280537,100,-20.34,57.76,66.99,4.7
18,punta arenas,0,CL,1604280511,76,-53.15,-70.92,51.8,3.36
19,hong gai,65,VN,1604280661,88,20.96,107.09,77.0,2.24
20,east london,68,ZA,1604280521,82,-33.02,27.91,64.99,14.79
21,khatanga,100,RU,1604280661,95,71.97,102.5,6.55,6.82
22,oranjemund,0,NA,1604280661,68,-28.55,16.43,60.6,3.94
23,cabo san lucas,0,MX,1604280609,73,22.89,-109.91,80.01,1.99
24,vila velha,75,BR,1604280661,83,-20.33,-40.29,69.8,17.22
25,ushuaia,75,AR,1604280448,54,-54.8,-68.3,57.2,3.36
26,porto nacional,90,BR,1604280662,94,-10.71,-48.42,75.2,5.82
27,albany,97,US,1604280610,95,42.6,-73.97,39.99,8.46
28,port blair,4,IN,1604280662,73,11.67,92.75,82.4,4.5
29,lebu,74,CL,1604280662,95,-37.62,-73.65,52.77,8.37
30,husavik,0,IS,1604280662,51,66.04,-17.34,39.2,5.82
31,upernavik,97,GL,1604280513,92,72.79,-56.15,16.54,3.24
32,kasongo-lunda,100,CD,1604280663,92,-6.47,16.82,70.2,0.29
33,naze,20,JP,1604280663,83,28.37,129.48,80.6,3.36
34,tuktoyaktuk,90,CA,1604280448,85,69.45,-133.04,14.0,12.75
35,kapaa,75,US,1604280663,78,22.08,-159.32,80.6,11.41
36,sorong,100,ID,1604280621,76,-0.88,131.25,83.46,5.75
37,san pedro,75,PH,1604280664,78,14.35,121.02,84.0,5.82
38,bluff,53,NZ,1604280664,65,-46.6,168.33,55.0,13.0
39,benjamin constant,75,BR,1604280664,100,-4.38,-70.03,77.0,3.36
40,yumen,0,CN,1604280664,53,40.28,97.2,43.09,3.42
41,korla,0,CN,1604280664,56,41.76,86.15,37.0,10.0
42,pishin,0,PK,1604280665,74,30.58,67.0,35.24,0.69
43,sungaipenuh,97,ID,1604280665,77,-2.08,101.38,72.23,3.22
44,torbay,20,CA,1604280665,74,47.67,-52.73,37.0,12.75
45,moundou,45,TD,1604280666,71,8.57,16.08,73.76,0.92
46,port alfred,33,ZA,1604280666,81,-33.59,26.89,64.69,17.38
47,evanton,87,GB,1604280666,93,57.66,-4.34,51.01,19.46
48,srednekolymsk,92,RU,1604280611,91,67.45,153.68,-2.2,7.49
49,aviles,90,ES,1604280666,88,43.55,-5.92,62.6,2.24
50,cape town,0,ZA,1604280666,72,-33.93,18.42,62.6,8.05
51,channel-port aux basques,90,CA,1604280667,81,47.57,-59.14,45.07,17.0
52,dingle,47,PH,1604280535,80,11.0,122.67,82.78,11.88
53,salalah,0,OM,1604280667,40,17.02,54.09,73.4,3.36
54,mandalgovi,0,MN,1604280509,82,45.76,106.27,19.81,4.81
55,katsuura,75,JP,1604280668,88,35.13,140.3,66.2,26.4
56,maniitsoq,99,GL,1604280644,95,65.42,-52.9,23.45,9.42
57,hualmay,64,PE,1604280668,87,-11.1,-77.61,60.84,8.05
58,atuona,83,PF,1604280668,78,-9.8,-139.03,77.54,13.38
59,dandong,0,CN,1604280534,50,40.13,124.39,44.94,3.22
60,faya,0,SA,1604280669,34,18.39,42.45,57.2,2.17
61,asau,7,RO,1604280390,86,46.43,26.4,39.0,5.7
62,santa cruz del sur,100,CU,1604280669,82,20.71,-78.0,78.93,14.14
63,lavrentiya,4,RU,1604280579,87,65.58,-171.0,22.93,5.48
64,sabha,0,LY,1604280669,63,27.04,14.43,59.61,9.06
65,mataura,75,NZ,1604280669,65,-46.19,168.86,55.0,13.0
66,atasu,99,KZ,1604280623,71,48.68,71.64,35.11,5.01
67,coquimbo,90,CL,1604280536,87,-29.95,-71.34,55.4,3.36
